timestamp,datetime,joint_1_rad,joint_1_deg,joint_2_rad,joint_2_deg,joint_3_rad,joint_3_deg,joint_4_rad,joint_4_deg,joint_5_rad,joint_5_deg,joint_6_rad,joint_6_deg,joint_7_rad,joint_7_deg,joint_8_rad,joint_8_deg,joint_9_rad,joint_9_deg,joint_10_rad,joint_10_deg,joint_11_rad,joint_11_deg,joint_12_rad,joint_12_deg,joint_13_rad,joint_13_deg,joint_14_rad,joint_14_deg,formatted
1756860854.2698195,2025-09-03 09:54:14.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"  +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0° ... (+6개)"
1756860854.3635645,2025-09-03 09:54:14.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"  +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0° ... (+6개)"
1756860854.4811594,2025-09-03 09:54:14.481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"  +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0° ... (+6개)"
1756860854.5778174,2025-09-03 09:54:14.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"  +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0° ... (+6개)"
1756860854.6600397,2025-09-03 09:54:14.660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"  +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0° ... (+6개)"
1756860854.754819,2025-09-03 09:54:14.754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"  +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0° ... (+6개)"
1756860854.8581457,2025-09-03 09:54:14.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"  +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0° ... (+6개)"
1756860854.9559572,2025-09-03 09:54:14.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"  +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0° ... (+6개)"
1756860855.0556278,2025-09-03 09:54:15.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"  +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0° ... (+6개)"
1756860855.1584601,2025-09-03 09:54:15.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"  +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0° ... (+6개)"
